Speed_kmh,Battery_State_%,Battery_Voltage_V,Driving_Mode,Road_Type,Traffic_Condition,Road_Gradient,Weather_Condition,Temperature_C,Wind,Vehicle_Weight_kg,Passenger_Count,Distance_Travelled_km,Energy_Consumption_kWh
111.50736643582246,30.41514793606419,378.09152521545263,Sport,Highway,Medium,Ascending,4,0.741770214307623,Medium,1822.967367715762,25,20.757508428820994,12.054316837893046
48.61232334330797,97.3855337784473,392.7183768879348,Normal,Rural,Medium,Descending,4,-3.495516154077721,Low,2091.8319138377155,14,0.6429176296592819,4.48870104769729
108.73332025589964,84.9126002160525,398.9934951463,Normal,Highway,3,Flat,Cloudy,9.248274673124495,Medium,1816.7024972222569,53,40.84282360003485,11.70137693672586
38.57948414974584,28.777904099769607,358.128273196106,Normal,Rural,Heavy,Ascending,3,2.8684089901268166,Low,1283.1026415009658,19,5.305228735924097,7.389265564508191
57.17243836125499,29.740159811814276,310.8881616031166,Sport,Highway,Medium,Flat,Rainy,16.75024402320902,Low,2160.3507875871123,25,5.825925674399545,6.761205202007953
27.123479737919965,67.55790839300951,345.91299077754365,Normal,3,Medium,Flat,4,1.6298736724197376,High,1275.0747733375897,3,2.510091060779996,4.31906050402437
76.85712506110127,47.59113393385466,378.7601146461644,3,Rural,Heavy,Ascending,4,1.2067481426024085,Medium,1831.921072182438,20,10.101039527342744,9.28572513709307
117.47773382097706,22.792468725848742,302.7725324761849,Normal,3,3,Descending,Rainy,34.464054284673225,Low,2320.2197624769533,31,8.923132449569461,10.154375379907354
72.41917152520544,63.33132062664425,305.6887438356149,Normal,3,Medium,Flat,Cloudy,36.4582615596884,High,1352.5936100364434,16,17.458505220815894,8.734982030592302
42.93769009362586,51.02760797486775,306.71577823828216,Normal,3,Heavy,Flat,3,38.38972938645595,Low,2118.616286213689,42,32.997592673126384,9.139607590819022
77.73809351886341,28.08611938973941,373.1035758328311,3,3,Heavy,Flat,3,25.622609929326035,Low,1260.2263032163964,12,2.809281958661103,9.3552963469904
14.750481415846508,84.15363138047861,350.1166628563172,Normal,Rural,3,Descending,Rainy,29.69574271581412,High,2490.9775040232,34,43.02776043272184,6.935742891556282
106.63908963184784,93.20614122230448,336.88979435205937,Normal,Highway,Heavy,Flat,Cloudy,32.61031398591831,Medium,2086.712294418794,22,16.39627290629214,9.893371837354756
60.37007409358037,80.5275147211304,310.5617045261736,Sport,Rural,3,Ascending,Rainy,24.651492660429906,Medium,2459.686504552757,39,30.369705820489063,8.731184312327246
53.92196904475705,85.79378480130218,373.2240250205889,Sport,Rural,Heavy,Flat,3,9.860939711613812,Low,2068.6911539894118,24,0.6990550993166389,7.207605094790329
70.30377461442231,37.31924538128939,332.10198105508994,Normal,Highway,Medium,Ascending,Rainy,2.037414929508585,Medium,1514.9680823278386,28,18.35381496191152,7.948397965703622
74.97406353472829,41.08583607348808,326.5324070064667,Sport,3,3,Descending,Rainy,5.677298822116754,Low,2404.273867692483,15,0.2023405040778794,8.19924324438179
8.613096747181563,36.68220322393502,365.2319201553551,Normal,Highway,Heavy,Ascending,3,32.81863231322332,Low,2014.6712402779508,26,8.35636785150311,4.3719906939719575
81.91406654680829,81.20507450924512,355.90108925968417,Normal,3,Medium,Flat,3,26.324375722907856,Medium,1948.7181657902013,48,22.447736480518792,8.607421884772135
29.031801637863552,95.83336631475976,336.24106418133016,3,Rural,Heavy,Ascending,3,15.51080935867682,High,1757.8454608960058,49,26.80086235529252,7.185772096022532
85.67431590079077,77.34697653871221,364.1487470805588,Normal,Highway,Medium,Descending,Rainy,-3.676771526879628,Low,1569.9720822310974,27,7.731137126095147,8.010846035355843
98.7041753261036,90.51734119036448,327.1221520384118,Sport,Highway,3,Flat,Rainy,6.97919666952474,Low,1889.0904405410463,46,37.28629225302105,10.104175318328322
96.47502090630245,71.0959275906538,379.4830261604327,Sport,3,Medium,Descending,Rainy,27.80038719065937,Low,1675.8750214545837,35,9.531282909478168,9.575673650868708
66.3001160889467,51.01279204470393,322.9318950307654,Sport,Highway,Heavy,Flat,Cloudy,18.057425579276032,Medium,2310.231725663948,8,5.880670098637158,7.300779003444786
62.420387077290144,54.06092919442442,315.8837695382016,Sport,Rural,Medium,Descending,4,14.598962251710253,Low,1237.4381045580842,18,16.7378831867826,8.552035881601197
17.145115360729406,26.025714573392385,378.2439409498875,Normal,Highway,Medium,Ascending,Cloudy,9.11557303509585,Low,1889.1189303400984,43,27.616290316681567,6.100899914978993
93.04153804837628,22.516575619682087,370.7892030697933,3,Highway,3,Ascending,4,22.31193237596608,High,2287.53435514455,60,49.44620063934544,12.824051271009102
32.569125653605724,75.6380483351262,318.26389757017984,3,Rural,Medium,Descending,3,38.48734234172601,Low,1235.8882827978782,32,20.993914908794,6.626022635287848
59.60345073815358,55.07431136089445,311.6245752689938,Normal,3,Medium,Descending,4,35.550563948387776,Medium,1566.9934791442995,40,21.35722122038133,8.658945042212396
34.11289115130201,64.17720544437036,383.8399088486692,Sport,Highway,Heavy,Ascending,Cloudy,-3.627592786207309,High,1266.9793236247044,13,3.060740158814432,6.282458616675993
16.059403559963176,64.6128998097933,377.6598482196688,3,3,Heavy,Flat,3,16.64292201625506,Low,1973.5049007550065,43,38.31440169064924,6.920138536434345
75.54692362700838,42.19006506666411,332.7257373699664,3,Highway,3,Flat,4,9.826118412112644,High,1611.7568967092518,11,9.170971792866062,8.303310681306469
6.51984417874846,58.071400866359255,365.8197408213367,Normal,Rural,3,Descending,4,17.977209805291043,Medium,2447.6490492907037,57,37.26569787081437,7.284021894666983
